Ch1,Ch2,Cluster_1_2,droplet
3857.512,7127.463,1,725
4043.856,7640.278,1,726
4085.077,7088.5,1,727
3968.979,7357.961,1,728
4186.75,2203.059,0,729
3923.861,7575.611,1,730
4010.809,7513.444,1,731
3886.527,7635.285,1,732
3900.085,8114.44,1,733
4006.303,2049.214,0,734
4062.208,2123.364,0,735
4217.907,2192.666,0,736
3986.917,7265.168,1,737
3991.34,7208.901,1,738
4157.412,2148.635,0,739
4092.858,8089.291,1,740
3919.57,7595.757,1,741
4024.514,2060.239,0,742
4010.28,2156.056,0,743
3944.814,7423.882,1,744
3973.381,7414.183,1,745
3996.574,8259.977,1,746
3955.317,7602.862,1,747
4242.484,7938.523,1,748
4015.858,1996.097,0,749
3997.728,7436.879,1,750
3925.655,7931.453,1,751
4058.894,7513.685,1,752
4002.045,7359.643,1,753
3915.603,7482.042,1,754
4396.491,2123.582,0,755
4082.532,6650.188,1,756
3904.879,7856.284,1,757
4313.908,7249.984,1,758
3902.36,7438.288,1,759
3968.607,7898.878,1,760
3998.075,2158.798,0,761
4061.002,8179.274,1,762
3856.048,8047.23,1,763
4112.758,7782.089,1,764
4006.61,7026.759,1,765
4087.321,7269.922,1,766
4042.144,7817.829,1,767
3946.068,8443.277,1,768
4201.852,2077.4,0,769
4002.542,7119.753,1,770
4512.745,2217.297,0,771
4274.724,2089.71,0,772
4020.937,7692.208,1,773
4315.642,2147.225,0,774
4262.356,2156.672,0,775
3974.687,7707.631,1,776
4031.536,1948.062,0,777
3988.023,6833.711,1,778
4055.394,7276.669,1,779
3955.462,7336.253,1,780
4057.656,6909.587,1,781
4029.029,7495.826,1,782
4044.253,7280.333,1,783
4386.928,7805.664,1,784
4083.142,2126.586,0,785
3950.3,7868.052,1,786
3998.059,7453.19,1,787
4040.591,6682.785,1,788
3949.719,2089.156,0,789
3904.465,7503.349,1,790
3925.312,7775.571,1,791
3978.171,7675.786,1,792
3991.871,2060.261,0,793
3932.268,7579.354,1,794
4022.171,7942.094,1,795
3963.234,7984.479,1,796
4108.065,2059.79,0,797
4210.749,2121.925,0,798
4195.524,7147.63,1,799
4154.556,7208.566,1,800
3930.036,7278,1,801
3976.354,7754.579,1,802
3984.808,7073.939,1,803
4446.796,2127.583,0,804
3976.608,7799.601,1,805
3929.492,7298.703,1,806
3887.599,7461.323,1,807
3987.699,7479.382,1,808
4387.447,2185.647,0,809
3912.868,7232.348,1,810
4054.567,7140.764,1,811
3970.962,2020.95,0,812
3975.819,8288.17,1,813
4336.221,7458.489,1,814
3894.168,7753.51,1,815
3886.407,7294.654,1,816
4037.349,2140.712,0,817
4006.468,7355.156,1,818
4004.062,7910.33,1,819
4078.436,2214.812,0,820
3968.947,7593.823,1,821
3994.667,7313.709,1,822
4224.22,2122.383,0,823
3912.598,6840.472,1,824
4066.737,7943.783,1,825
4131.604,2102.537,0,826
4005.818,1994.312,0,827
4172.416,2162.577,0,828
3948.351,7547.784,1,829
4040.078,8052.183,1,830
4029.876,7351.011,1,831
4153.304,2109.28,0,832
4082.272,8044.72,1,833
3939.651,7171.534,1,834
3997.029,8299.794,1,835
3907.908,7699.1,1,836
3830.815,7224.701,1,837
4053.308,8022.183,1,838
4067.347,1986.605,0,839
3895.541,7684.592,1,840
4014.741,7391.846,1,841
4035.927,2065.065,0,842
4165.976,2120.098,0,843
4113.28,7351.923,1,844
4109.848,2082.871,0,845
4068.385,1947.795,0,846
4088.927,2031.574,0,847
4194.812,7092.347,1,848
4154.089,2131.913,0,849
3973.413,7919.946,1,850
3875.923,7200.474,1,851
4086.465,2110.885,0,852
4033.43,8288.845,1,853
4150.599,7562.853,1,854
4138.586,2037.418,0,855
4163.744,7666.995,1,856
4008.033,7750.854,1,857
3985.638,7348.516,1,858
4051.129,7385.461,1,859
3935.618,7830.588,1,860
3906.868,7667.466,1,861
4001.962,1953.233,0,862
4041.218,2048.366,0,863
3921.189,7404.478,1,864
3966.191,7534.231,1,865
3911.414,7644.39,1,866
4040.966,8053.292,1,867
4020.06,7385.229,1,868
4024.253,7363.48,1,869
3941.337,1989.161,0,870
4116.015,8053.77,1,871
4046.253,6956.181,1,872
4107.709,7138.861,1,873
4028.881,6811.728,1,874
4146.191,1991.914,0,875
4295.768,6828.477,1,876
4183.662,7443.116,1,877
4039.775,7239.48,1,878
4021.843,7840.973,1,879
4102.557,7177.516,1,880
4456.525,2151.834,0,881
4074.069,2042.363,0,882
4198.054,1985.794,0,883
3956.325,7460.823,1,884
3936.08,7673.304,1,885
3897.858,7361.521,1,886
3910.327,7395.878,1,887
4054.49,1988.226,0,888
4391.076,2188.408,0,889
4105.738,2045.022,0,890
4239.316,7433.236,1,891
4092.129,2017.694,0,892
4135.744,1909.685,0,893
3935.493,7334.527,1,894
4085.389,2128.58,0,895
3920.133,7321.988,1,896
4086.422,2160.614,0,897
4052.29,7766.941,1,898
3964.745,7275.632,1,899
4142.625,2161.699,0,900
4306.479,7432.445,1,901
4139.076,7170.307,1,902
4071.83,7920.38,1,903
4215.991,2184.074,0,904
4039.07,7477.277,1,905
4275.874,7408.342,1,906
4028.318,7595.998,1,907
3956.52,6975.637,1,908
4032.925,2046.232,0,909
4137.052,2229.686,0,910
4342.186,7703.106,1,911
4311.353,7131.323,1,912
4001.078,8129.161,1,913
4042.77,7247.221,1,914
4219.356,2160.311,0,915
3938.664,8105.813,1,916
4433.068,2136.742,0,917
4072.379,2054.488,0,918
3894.871,7878.534,1,919
3988.548,7645.513,1,920
4013.024,7982.749,1,921
3920.121,7341.375,1,922
3954.612,7538.337,1,923
3966.716,2059.05,0,924
4050.842,2038.586,0,925
3968.045,7913.757,1,926
4211.138,7013.131,1,927
3989.441,7353.179,1,928
4053.39,2091.474,0,929
4136.688,7576.867,1,930
3922.94,7124.814,1,931
4049.45,7969.259,1,932
4013.594,2072.289,0,933
4207.319,7587.641,1,934
3971.053,7290.176,1,935
4039.779,1932.257,0,936
3951.606,7286.833,1,937
4081.935,8043.338,1,938
4020.168,7912.085,1,939
4062.976,1931.661,0,940
4192.069,2238.322,0,941
3944.451,7095.424,1,942
4092.48,2210.234,0,943
3976.447,5239.853,1,944
4155.243,2076.458,0,945
3845.333,6997.656,1,946
3958.775,7071.443,1,947
4034.064,6596.291,1,948
4288.21,7770.2,1,949
4221.022,7060.282,1,950
3970.566,6998.083,1,951
3996.595,7356.808,1,952
3989.312,2009.649,0,953
4108.567,2108.986,0,954
4016.882,2008.681,0,955
3973.776,7904.041,1,956
3864.06,6168.087,1,957
4015.04,7650.296,1,958
4174.866,2098.091,0,959
3939.281,7854.336,1,960
3980.771,7683.903,1,961
3980.42,8570.593,1,962
4023.061,7806.536,1,963
4034.604,7901.264,1,964
3987.072,8110.097,1,965
4026.148,1944.237,0,966
3985.504,1973.716,0,967
3995.477,7797.361,1,968
4227.157,2102.11,0,969
3997.983,7404.238,1,970
3944.672,6957.309,1,971
4199.652,2004.218,0,972
4050.188,7552.111,1,973
4159.142,2174.91,0,974
4016.91,1989.682,0,975
4067.018,7559.7,1,976
4070.896,7546.472,1,977
3874.94,7482.94,1,978
4087.705,2054.951,0,979
