Ch1,Ch2,Cluster,droplet
11694.5,8211.62,11,433
3933.24,7799.56,1,434
11317.13,8366.979,11,435
3873.697,7995.355,1,436
10736.85,7726.949,11,437
4005.969,2073.054,0,438
3900.091,7469.616,1,439
4103.56,2062.383,0,440
4068.088,8007.436,1,441
3965.038,7546.218,1,442
11556.32,8167.946,11,443
11002.66,6907.899,11,444
10994.08,7552.697,11,445
3981.685,7330.63,1,446
4301.147,7946.528,1,447
11140.68,7811.9,11,448
3934.16,8429.792,1,449
3878.992,7873.522,1,450
4218.699,7627.288,1,451
3971.555,7124.317,1,452
4063.843,2105.33,0,453
3957.85,7605.051,1,454
3946.273,7797.568,1,455
3925.166,7486.503,1,456
4265.316,2172.606,0,457
3949.348,7817.434,1,458
3911.131,7691.257,1,459
11167.74,7559.197,11,460
11233.29,2178.635,10,461
3947.003,7729.781,1,462
4022.865,8158.421,1,463
11557.71,7969.482,11,464
3959.826,7853.958,1,465
11031.3,7949.335,11,466
4221.073,7708.987,1,467
4020.778,7475.667,1,468
11235.96,7996.973,11,469
3958.003,8163.47,1,470
3870.906,8048.188,1,471
3886.514,7998.288,1,472
11331.53,7620.254,11,473
11313.88,7531.073,11,474
3990.156,7376.257,1,475
11060.07,7567.945,11,476
3883.433,8292.784,1,477
4165.22,7907.075,1,478
11022.16,7501.593,11,479
3906.785,7607.277,1,480
3984.866,7522.888,1,481
4025.18,7399.184,1,482
11478.05,7648.262,11,483
4094.181,2116.689,0,484
3924.379,7183.909,1,485
3972.06,7990.977,1,486
11040.11,7566.727,11,487
4046.608,8354.847,1,488
4356.333,2197.365,0,489
3947.141,7473.66,1,490
4387.403,7361,1,491
11190.07,7882.404,11,492
3901.29,7734.292,1,493
3929.443,7270.185,1,494
5659.858,7212.062,1,495
3969.186,7555.544,1,496
10887.69,7566.192,11,497
11115.73,7159.464,11,498
11013.19,7631.645,11,499
4049.393,7799.004,1,500
3945.668,8020.658,1,501
4187.977,7668.56,1,502
10763.21,7993.949,11,503
11047.89,7986.248,11,504
11077.71,8136.815,11,505
10733.16,7535.965,11,506
4028.912,7789.213,1,507
10863.78,7804.702,11,508
4011.396,8324.605,1,509
3908.224,7284.165,1,510
10899.39,7673.282,11,511
11993.27,7878.591,11,512
11025.46,7797.703,11,513
10895.57,7807.409,11,514
11233.58,8118.246,11,515
3908.337,7734.381,1,516
10800.29,7899.428,11,517
3921.314,7468.409,1,518
10892.53,7610.629,11,519
11276.9,8166.414,11,520
11269.69,7907.621,11,521
4401.326,7425.292,1,522
11423.33,8536.862,11,523
11352.54,7645.892,11,524
4235.508,7408.993,1,525
11450.05,7584.447,11,526
10458.21,7712.655,11,527
3829.831,7772.776,1,528
3932.168,7400.198,1,529
3955.578,7947.86,1,530
11127.03,7758.919,11,531
10448.47,7157.328,11,532
3935.015,7899.716,1,533
11196.7,7778.451,11,534
3845.299,7661.095,1,535
10932,1851.29,10,536
11990.96,8596.184,11,537
4237.387,2126.958,0,538
4016.028,7870.896,1,539
11039.98,7672.895,11,540
3969.847,7731.712,1,541
11079.07,8017.134,11,542
3997.761,7685.671,1,543
3936.356,7721.254,1,544
3942.303,7434.549,1,545
4095.586,7339.61,1,546
3975.23,7862.141,1,547
10389.75,7762.251,11,548
4271.913,8077.808,1,549
11083.33,7598.214,11,550
10594.77,7585.594,11,551
10783.8,7445.268,11,552
4137.271,7251.58,1,553
4169.024,2078.65,0,554
3941.524,7540.178,1,555
3890.076,7591.047,1,556
4190.61,7951.56,1,557
11162.04,7163.444,11,558
3899.761,7832.477,1,559
4025.424,8177.633,1,560
10877.02,7646.163,11,561
3995.61,8432.992,1,562
11134,7484.726,11,563
10633.4,7687.126,11,564
4004.024,7828.869,1,565
3914.113,7427.277,1,566
11688.66,8159.409,11,567
3925.658,7935.933,1,568
3951.597,8661.991,1,569
3998.403,7682.262,1,570
3978.49,7770.942,1,571
4040.269,8194.707,1,572
4019.304,8029.504,1,573
3940.833,7388.177,1,574
3869.796,7518.313,1,575
4027.777,8127.366,1,576
3976.356,7556.486,1,577
4143.537,7772.519,1,578
3999.221,7570.766,1,579
4005.463,8276.13,1,580
4055.001,8162.644,1,581
4025.628,7812.449,1,582
4019.964,7607.688,1,583
4122.688,7558.903,1,584
4026.159,7485.284,1,585
3910.856,7697.295,1,586
4007.957,7507.326,1,587
4010.577,7305.858,1,588
10938.68,7034.304,11,589
10546.38,7660.798,11,590
11185.35,7674.156,11,591
11820.39,8341.048,11,592
4024.384,8512.416,1,593
4121.102,7526.456,1,594
4009.709,7061.378,1,595
3915.384,7966.006,1,596
4352.555,7666.431,1,597
11109.3,7328.06,11,598
3977.875,7477.442,1,599
3968.254,8146.734,1,600
4067.959,8298.105,1,601
10813.94,8100.28,11,602
10906.2,2030.682,10,603
4087.994,8376.294,1,604
10799.73,7500.373,11,605
10783.13,7441.207,11,606
10820.71,7259.938,11,607
4065.218,7702.214,1,608
3847.679,7978.486,1,609
4000.197,7544.564,1,610
11689.3,2062.087,10,611
11104.04,7732.395,11,612
3984.166,7171.836,1,613
4024.424,2079.764,0,614
11007.82,7863.076,11,615
11119.68,7993.172,11,616
4038.229,7145.697,1,617
3935.303,7771.451,1,618
3982.506,7144.168,1,619
3986.566,7788.691,1,620
3982.981,7940.685,1,621
3976.19,2138.973,0,622
10900.66,7408.567,11,623
11062.27,7522.318,11,624
3940.913,7783.801,1,625
8881.504,7647.431,11,626
10695.18,7502.75,11,627
11550.66,7961.129,11,628
3993.138,8393.027,1,629
4016.421,2056.566,0,630
10799.67,7429.537,11,631
3934.465,7435.628,1,632
4067.931,8026.862,1,633
3998.388,7376.634,1,634
10945.87,7612.17,11,635
4237.624,7715.13,1,636
4478.803,7338.916,1,637
4028.311,7336.31,1,638
3892.708,7895.016,1,639
4029.161,7302.464,1,640
3946.5,7408.08,1,641
4037.495,6981.019,1,642
4175.446,7442.465,1,643
3888.996,7822.87,1,644
4180.057,7781.086,1,645
3875.078,7699.634,1,646
11304.53,7850.725,11,647
3977.262,7558.793,1,648
10578.33,7592.995,11,649
4050.578,7536.631,1,650
4079.008,7837.61,1,651
11068.7,7695.785,11,652
3936.949,7348.559,1,653
4059.945,8175.05,1,654
11540.59,7813.489,11,655
10802.12,7679.602,11,656
4010.663,7663.173,1,657
4140.886,2178.714,0,658
3967.764,7793.29,1,659
3960.617,8396.031,1,660
11062.92,7994.6,11,661
3900.189,7551.404,1,662
11693.72,7990.758,11,663
4362.523,7551.667,1,664
3882.931,7468.271,1,665
3947.11,7432.991,1,666
10585,7477.819,11,667
4401.752,7365.638,1,668
4066.191,8381.981,1,669
10734.52,6924.128,11,670
3987.099,7634.845,1,671
3958.824,7482.296,1,672
11658.44,8462.259,11,673
11208.42,7479.72,11,674
11236.99,8110.388,11,675
10916.69,7613.926,11,676
4067.108,7424.527,1,677
4039.925,8211.479,1,678
11214.98,7668.542,11,679
3984.004,7416.801,1,680
10739.28,7158.571,11,681
4139.465,7319.239,1,682
4102.828,7306.883,1,683
4008.421,8276.502,1,684
10990.61,7812.811,11,685
10265.48,7481.06,11,686
4142.565,7571.086,1,687
3925.287,7465.482,1,688
4106.704,7695.796,1,689
3926.677,7414.576,1,690
11765.66,2127.013,10,691
11073.72,2055.046,10,692
10930.47,7834.879,11,693
11208.08,7918.384,11,694
3910.067,7840.943,1,695
4058.925,8469.497,1,696
11126.85,7999.237,11,697
4189.115,7510.806,1,698
4061.521,8003.461,1,699
10664.52,7905.778,11,700
3993.235,8466.725,1,701
11151.49,1993,10,702
10599.2,7156.297,11,703
10976.14,7534.628,11,704
10686.72,7139.937,11,705
4008.361,7531.249,1,706
4118.976,7597.463,1,707
11707.97,8302.223,11,708
11307.99,7860.714,11,709
10553.93,8301.678,11,710
11001.37,7701.815,11,711
3919.922,7842.848,1,712
3979.225,8087.665,1,713
3983.887,7889.468,1,714
10771.89,1936.749,10,715
3901.85,7510.398,1,716
11453.58,8057.169,11,717
4045.023,8129.432,1,718
4005.398,7193.553,1,719
11028.53,7068.152,11,720
4115.082,7475.842,1,721
3867.456,7748.659,1,722
11479.66,1868.481,10,723
3962.272,8020.948,1,724
3962.271,7921.201,1,725
11263.66,7698.127,11,726
3924.556,7817.175,1,727
3938.529,7779.721,1,728
11248.75,7619.03,11,729
11034.22,7235.45,11,730
3906.005,7859.004,1,731
10466.99,7603.036,11,732
10855.87,7649.183,11,733
12241.57,8786.419,11,734
3917.55,7537.655,1,735
9934.055,7713.552,11,736
4088.034,7180.087,1,737
4058.766,8143.549,1,738
3991.703,8105.85,1,739
3909.153,7286.541,1,740
11239.07,7729.436,11,741
11186.15,7826.576,11,742
4003.738,7729.465,1,743
10499.99,7031.288,11,744
10626.95,7387.672,11,745
10576.66,7783.953,11,746
11133.01,1957.628,10,747
10619.34,7313.1,11,748
11234.83,7355.117,11,749
11420.21,7675.235,11,750
10791.17,7585.193,11,751
10548.73,2089.876,10,752
11366.1,8365.009,11,753
4135.907,7355.315,1,754
3985.132,7246.284,1,755
4117.791,8021.671,1,756
3992.345,7335.545,1,757
3944.138,7550.131,1,758
10969.55,8046.119,11,759
11441.83,8004.084,11,760
11322.98,2060.392,10,761
4121.904,7457.209,1,762
4020.975,7561.299,1,763
3978.026,7872.688,1,764
3852.854,7722.576,1,765
4055.121,7161.995,1,766
3909.246,7606.087,1,767
3995.825,2096.47,0,768
11518.59,7751.309,11,769
3967.585,7325.697,1,770
10800.03,7857.028,11,771
11322.68,7581.653,11,772
3970.022,7476.106,1,773
3958.384,7654.648,1,774
4133.093,2054.718,0,775
3915.708,7906.504,1,776
4269.568,7315.331,1,777
3910.223,7915.167,1,778
3892.353,2169.24,0,779
10344.98,7477.205,11,780
4077.001,7451.931,1,781
3849.682,7481.439,1,782
3899.117,7581.721,1,783
4027.551,8051.892,1,784
3946.471,7714.238,1,785
4120.491,7731.107,1,786
11240.86,7816.765,11,787
3936.374,7682.484,1,788
3866.067,7257.017,1,789
11089.12,7846.258,11,790
10736.6,7403.805,11,791
11595.85,8303.141,11,792
3948.574,7723.37,1,793
4084.405,7323.277,1,794
11073.26,7668,11,795
3995.696,7643.929,1,796
11102.7,8213.23,11,797
4055.402,5699.488,1,798
3911.791,7878.345,1,799
11222.07,8137.378,11,800
11321.65,8122.416,11,801
3926.302,7775.275,1,802
10894.85,7816.717,11,803
10819.86,7774.449,11,804
4328.955,7272.236,1,805
3893.089,7584.71,1,806
4055.621,7699.412,1,807
4322.271,7744.616,1,808
11194.4,7714.156,11,809
10815.01,2127.179,10,810
3957.414,7452.474,1,811
11093.86,7376.72,11,812
4014.795,7878.503,1,813
10965.63,7872.129,11,814
10878.12,7462.717,11,815
4036.921,7515.38,1,816
4166.252,7564.212,1,817
4238.903,7365.799,1,818
3970.229,7357.654,1,819
4038.229,7412.585,1,820
3907.51,7528.585,1,821
3900.739,7503.046,1,822
3927.445,7226.374,1,823
4253.852,7772.853,1,824
4071.15,7839.671,1,825
4206.62,7115.386,1,826
3836.98,7763.955,1,827
11598.3,7942.939,11,828
10991.24,7565.1,11,829
3950.41,7609.94,1,830
11005.6,7689.767,11,831
4010.981,8280.911,1,832
11404.05,7995.244,11,833
11934.69,8223.439,11,834
3983.686,7626.661,1,835
3970.601,7674.214,1,836
4284.189,7914.574,1,837
4091.991,8230.303,1,838
11803.43,8444.597,11,839
11280.46,8130.162,11,840
10631.53,7582.84,11,841
11007.82,8134.812,11,842
3917.409,8072.207,1,843
4049.65,7609.181,1,844
4000.309,8436.547,1,845
11132.85,7714.04,11,846
3954.101,8208.68,1,847
4072.615,7641.288,1,848
3982.654,7685.668,1,849
